Anschrift,Ortskürzel,Streckennummer,Servicebezirk,Standortart,Ort_Lat,Ort_Lon,
Apen BTS 15757,APE_,1520  (Oldenburg (Oldb) Hbf. W 5 - Leer (Ostfriesl.). W 38),N-HAN-S3 (3S030). Osnabrück. Servicebezirk,Mehrraum-Gebäudestandort,53.2180188590309,7.79997114500588,
Appenweier Eichgrund ZBF BTS 20142,APPE,4000  (Mannheim - Konstanz Landesgrenze),Freiburg 4T040. Freiburg 4T040. Serviceteam,Mehrraum-Gebäudestandort,48.5599982685327,7.97999593419651,
Wuppertal Aprath BTS 12680,APRG,2723  (Wuppertal-Vohwinkel. W 088 - Kupferdreh. Streckenwechsel 240),Düsseldorf 3T060. Düsseldorf 3T060. Serviceteam,Mehrraum-Gebäudestandort,51.2674609811131,7.07147405931281,
Elztal Auerbach BTS 20746,ARB_,4120  (Mosbach-Neckarelz. W 37 - Würzburg-Heidingsfeld West. W 25),Würzburg 4T120. Würzburg 4T120. Serviceteam,Mehrraum-Gebäudestandort,49.3994415635513,9.22388272608814,
Angern-Rogätz BTS 22112,ARB---G,6402  (Magdeburg Hbf - Stendal),O-DRE-S5 (0S050). Magdeburg. Servicebezirk,Mehrraum-Gebäudestandort,52.3422146359135,11.761380967155,
Ahrensdorf BTS 20164,ARDF,6126  (Saarmund. W 23 - Berlin Eichgestell. Stw Egw),O-BLN-S1 (1S010). Berlin1. Servicebezirk,Mehrraum-Gebäudestandort,52.3180476314264,13.2036007887755,
Arnsdorf BTS 16726,ARDG,6212  (Görlitz. W 9 - Dresden-Neustadt. W 97),Dresden 1T100. Dresden 1T100. Serviceteam,Mehrraum-Gebäudestandort,51.0933265832561,13.9816539002067,
Arfurt Ost BTS 24067,ARFU--G,3710  (Wetzlar. W 75 - Koblenz Hbf),W-ESB-S1 (6S010). Frankfurt. Servicebezirk,Mehrraum-Gebäudestandort,50.4036938309603,8.21744709472498,
Arenshausen BTS 16972,ARH_,6343  (Halle (Saale) Hbf. Gl 5W - Hann Münden. W 376),O-DRE-S3 (0S030). Erfurt. Servicebezirk,Mehrraum-Gebäudestandort,51.3772158541804,9.99555020691735,
Arholzen BTS 15883,ARHO--G,1940  (Helmstedt. W 68 - Holzminden),N-HAN-S2 (3S020). Braunschweig. Servicebezirk,Mehrraum-Gebäudestandort,51.8650481555769,9.56988429289393,
Armsheim BTS 20351,ARMG,3560  (Worms Hbf. W 80 - Gensingen-Horrweiler. W 3),W-ESB-S2 (6S020). Mainz. Servicebezirk,Mehrraum-Gebäudestandort,49.8080573971114,8.07416669309455,
Arnstadt BTS 17053,ARNG,6298  (Neudietendorf. W 794 - Ritschenhausen. W 5),O-DRE-S3 (0S030). Erfurt. Servicebezirk,Mehrraum-Gebäudestandort,50.8408275234333,10.9491584844988,
Immensen-Arpke BTS 15901,ARP_,6107  (Berlin Lehrter Bf - Lehrte. W 953),Hannover 2T010. Hannover 2T010. Serviceteam,Mehrraum-Gebäudestandort,52.391908498903,10.0861049757501,
