Unterwerk,Bemerkung,lon,lat,
Uw Weiterstadt [OT Braunshardt],,49.9105555555556,8.57472222222222,
Uw Werdau [OT Leubnitz],,50.7197222222222,12.3697222222222,
Uw Wickrath [OT Hahn],,51.1208333333333,6.39555555555556,
Uw Wiesbaden Ost,,50.0311111111111,8.26638888888889,
Uw Wiesental,,49.2219444444444,8.49666666666667,
Uw Wolfratshausen,,47.9083333333333,11.4255555555556,
Uw Wörsdorf [Idstein],,50.2358333333333,8.2475,
Uw Wunstorf,,52.4155555555556,9.48277777777778,
Uw Würzburg,,49.8016666666667,9.89777777777778,
Uw Wurzen,,51.3630555555556,12.7458333333333,
Zapfendorf (alt),stillgelegt. Außerbetriebnahme vor 2001. ersetzt durch Uw Ebensfeld,50.0258333333333,10.9413888888889,
Rothenstein (alt),1940 Inbetriebnahme. 1946 Demontage[40],50.8408333333333,11.5952777777778,
